,Id,제조사,모델명,배지,세부 배지,연식,모델연도,가격,주행거리,연료,변속기,등록 상태,판매 유형,마지막 수정일,판매지역,판매처,차량번호,내차피해,타차가해,소유자변경이력,내차피해금액,타차가해금액,번호판변경이력,전체침수횟수,일부침수횟수,모델 종류
23741,37357513,현대,그랜저 IG 하이브리드,익스클루시브,(세부등급 없음),201709.0,2018,2190.0,62049.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-19 22:37:12.000 +09,부산,마린모터스,04두7436,1,1,0,174.903,47.54,0,0,,그랜저
8361,39102193,현대,스타리아,카고 5인승,모던,202302.0,2023,2540.0,65233.0,디젤,오토,ORIGINAL,일반,2025-03-19 10:28:47.000 +09,대전,선비모터스,825너3385,0,0,1,0.0,0.0,0,0,,스타리아
17925,39190967,제네시스,G80 (RG3),가솔린 2.5 터보 AWD,(세부등급 없음),202102.0,2021,3790.0,72049.0,가솔린,오토,ORIGINAL,일반,2025-03-20 07:55:56.000 +09,대구,엠월드서대구중고차,220수3339,0,0,1,0.0,0.0,1,0,,제네시스
1551,39043427,현대,쏘나타 (DN8),2.0 LPG(렌터카용),스마트,201906.0,2020,1590.0,47448.0,LPG(일반인 구입),오토,ORIGINAL,일반,2025-03-19 22:44:11.000 +09,경기,더케이 모터스,119주1070,4,2,2,433.5284,163.6681,1,0,,쏘나타
2603,38792180,현대,쏘나타 뉴 라이즈,2.0 모던,,201801.0,2018,1379.0,102868.0,가솔린,오토,ORIGINAL,일반,2025-03-19 17:02:26.000 +09,전북,에코매매상사,212거1658,3,0,2,127.8077,0.0,1,0,,쏘나타
26156,38529001,현대,그랜저 IG,3.0 익스클루시브,(세부등급 없음),201810.0,2019,2110.0,82804.0,가솔린,오토,ORIGINAL,일반,2025-03-17 14:12:40.000 +09,경기,차란차 (주),55마2618,2,2,1,208.9799,242.759,0,0,,그랜저
21982,39006818,현대,그랜저 하이브리드 (GN7),익스클루시브,,202303.0,2023,4060.0,11034.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-19 23:48:11.000 +09,서울,롯데렌탈주식회사,228도3290,0,0,0,0.0,0.0,1,0,,그랜저
8950,38624010,현대,싼타페 TM,가솔린 2.0T 2WD,프리미엄,201912.0,2020,2320.0,25239.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:02:03.000 +09,서울,시원모터스,161버5513,0,0,0,0.0,0.0,0,0,,싼타페
1579,39034663,현대,쏘나타 (DN8),2.0,프리미엄 패밀리,201904.0,2020,1815.0,47734.0,가솔린,오토,ORIGINAL,일반,2025-03-19 22:34:29.000 +09,대구,제이모터스,274더8024,3,2,2,468.7647,153.659,1,0,,쏘나타
11504,39002210,현대,코나 (SX2),가솔린 1.6 터보 2WD,인스퍼레이션,202409.0,2025,2950.0,3160.0,가솔린,오토,ORIGINAL,일반,2025-03-20 10:22:03.000 +09,경기,로또모터스,117더8134,0,0,0,0.0,0.0,0,0,,코나
